[2024-11-19 14:54:37] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 14:55:37] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 14:56:37] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 14:58:44] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 14:59:44] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:00:44] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:01:44] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:03:27] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:04:27] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:05:27] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 15:06:27] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 15:07:27] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 15:08:27] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-11-19 15:10:17] Utilizadores online: 1 | Mensagens enviadas: 1
[2024-11-19 15:12:07] Utilizadores online: 2 | Mensagens enviadas: 1
[2024-11-19 15:13:07] Utilizadores online: 2 | Mensagens enviadas: 2
[2024-11-19 15:15:01] Utilizadores online: 2 | Mensagens enviadas: 1
[2024-11-19 15:20:34] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 15:22:43] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 15:24:47] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 15:32:39] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:39:39] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:47:24] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:48:24] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:49:24] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-11-19 15:50:36] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:39:45] Utilizadores online: 2 | Mensagens enviadas: 2
[2024-11-19 16:40:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:41:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:42:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:43:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:44:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:45:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:46:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:47:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:48:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:49:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:50:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:51:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:52:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 16:53:45] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 17:03:18] Utilizadores online: 2 | Mensagens enviadas: 2
[2024-11-19 17:04:18] Utilizadores online: 2 | Mensagens enviadas: 1
[2024-11-19 17:05:18] Utilizadores online: 2 | Mensagens enviadas: 3
[2024-11-19 17:21:25] Utilizadores online: 2 | Mensagens enviadas: 2
[2024-11-19 17:28:50] Utilizadores online: 2 | Mensagens enviadas: 3
[2024-11-19 17:29:50] Utilizadores online: 1 | Mensagens enviadas: 3
[2024-11-19 17:32:00] Utilizadores online: 1 | Mensagens enviadas: 1
[2024-11-19 17:33:00] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-11-19 17:42:39] Utilizadores online: 3 | Mensagens enviadas: 0
[2024-11-19 17:49:00] Utilizadores online: 3 | Mensagens enviadas: 1
[2024-12-01 23:46:37] Utilizadores online: 1 | Mensagens enviadas: 2
[2024-12-01 23:47:37] Utilizadores online: 1 | Mensagens enviadas: 1
[2024-12-02 00:01:51] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-02 00:02:51] Utilizadores online: 0 | Mensagens enviadas: 1
[2024-12-02 00:03:51] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-02 00:04:51] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-05 23:48:05] Utilizadores online: 2 | Mensagens enviadas: 1
